tanggal,data
2003-08-14,1027.7
2003-09-01,1061.41
2003-09-15,1128.56
2003-10-01,1206.02
2003-10-17,1269.97
2003-11-03,1212.01
2003-11-19,1177.64
2003-12-05,1257.66
2003-12-22,1319.71
2004-01-06,1397.55
2004-01-23,1569.79
2004-02-09,1534.12
2004-02-24,1540.88
2004-03-10,1526.8
2004-03-26,1435.97
2004-04-12,1530.67
2004-04-27,1643.3
2004-05-13,1503.2
2004-05-31,1489.63
2004-06-14,1420.84
2004-06-30,1489.42
2004-07-16,1544.74
2004-08-02,1524.34
2004-08-18,1529.94
2004-09-03,1603.87
2004-09-21,1659.22
2004-10-05,1753.89
2004-10-21,1679.01
2004-11-08,1823.3
2004-11-22,1935.36
2004-12-08,2027.73
2004-12-27,2073.22
2005-01-10,2111.43
2005-01-25,2130.18
2005-02-11,2166.59
2005-02-28,2253.91
2005-03-14,2372.28
2005-03-30,2240.09
2005-04-15,2316.43
2005-05-02,2206.16
2005-05-18,2238.67
2005-06-03,2357.19
2005-06-20,2484.55
2005-07-05,2463.33
2005-07-21,2560.81
2005-08-08,2595.6
2005-08-22,2420.72
2005-09-07,2423.25
2005-09-23,2352.76
2005-10-10,2526.58
2005-10-25,2454.07
2005-11-10,2410.92
2005-11-28,2475.95
2005-12-12,2707.42
2005-12-28,2673.07
2006-01-13,2905.01
2006-01-30,2872.03
2006-02-15,2946.33
2006-03-03,2979.81
2006-03-20,3107.55
2006-04-04,3092.75
2006-04-20,3440.63
2006-05-08,3590.83
2006-05-22,3139.88
2006-06-07,3141.95
2006-06-23,3159.58
2006-07-10,3286.7
2006-07-25,3244.46
2006-08-10,3418.48
2006-08-28,3471.23
2006-09-11,3527.51
2006-09-27,3671.53
2006-10-13,3785.69
2006-10-30,3820.13
2006-11-15,4002.23
2006-12-01,4148.2
2006-12-18,4240.08
2007-01-02,4347.47
2007-01-18,4195.68
2007-02-05,4150.41
2007-02-19,4200.47
2007-03-07,4074.17
2007-03-23,4231.6
2007-04-09,4505.47
2007-04-24,4652.53
2007-05-10,4797.78
2007-05-28,4857.49
2007-06-11,4939.8
2007-06-27,4995.12
2007-07-13,5439.6
2007-07-30,5534.0
2007-08-15,4886.89
2007-09-03,5302.54
2007-09-18,5399.36
2007-10-02,5944.43
