tanggal,data
2009-02-04,1010.84
2009-02-16,970.53
2009-03-02,931.59
2009-03-12,956.17
2009-03-24,1025.42
2009-04-06,1025.04
2009-04-16,1032.0
2009-04-28,1033.59
2009-05-11,1057.46
2009-05-22,1074.95
2009-06-03,1118.39
2009-06-15,1091.9
2009-06-29,1089.33
2009-07-09,1121.0
2009-07-21,1129.48
2009-08-03,1148.4
2009-08-14,1118.25
2009-08-26,1127.03
2009-09-07,1125.32
2009-09-24,1147.04
2009-10-01,1160.63
2009-10-13,1157.44
2009-10-26,1156.82
2009-11-06,1151.85
2009-11-18,1159.68
2009-11-30,1167.09
2009-12-14,1181.7
2009-12-28,1180.13
2010-01-05,1186.96
2010-01-18,1212.6
2010-01-29,1205.26
2010-02-10,1207.85
2010-02-22,1210.51
2010-03-05,1217.9
2010-03-17,1228.6
2010-03-29,1231.99
2010-04-12,1243.62
2010-04-22,1251.63
2010-05-04,1252.82
2010-05-17,1239.41
2010-05-31,1239.28
2010-06-09,1249.16
2010-06-21,1288.03
2010-07-05,1273.12
2010-07-15,1285.59
2010-07-27,1288.93
2010-08-09,1310.97
2010-08-20,1306.43
2010-09-01,1299.48
2010-09-15,1312.63
2010-09-27,1329.73
2010-10-07,1361.11
2010-10-19,1379.65
2010-11-01,1369.99
2010-11-12,1344.41
2010-11-24,1340.61
2010-12-06,1347.24
2010-12-20,1311.86
2010-12-30,1332.71
2011-01-10,1335.25
2011-01-24,1257.26
2011-02-04,1275.09
2011-02-16,1272.0
2011-02-28,1282.78
2011-03-11,1310.96
2011-03-23,1325.88
2011-04-04,1353.3
2011-04-18,1357.84
2011-04-28,1368.17
2011-05-10,1372.69
2011-05-23,1391.41
2011-06-03,1399.51
2011-06-15,1401.99
2011-06-27,1397.42
2011-07-11,1424.85
2011-07-21,1426.4
2011-08-02,1458.69
2011-08-15,1463.98
2011-08-26,1474.41
2011-09-07,1487.76
2011-09-19,1471.23
2011-10-03,1492.03
2011-10-13,1533.71
2011-10-25,1540.17
2011-11-07,1549.29
2011-11-17,1545.6
2011-11-29,1508.32
2011-12-12,1547.36
2011-12-23,1566.07
2012-01-04,1571.96
2012-01-16,1574.41
2012-01-30,1638.68
2012-02-09,1693.99
2012-02-21,1673.73
2012-03-05,1627.89
2012-03-16,1596.31
2012-03-28,1603.44
2012-04-09,1605.17
2012-04-23,1611.43
2012-05-03,1605.97
2012-05-15,1576.78
2012-05-28,1563.14
2012-06-08,1571.12
2012-06-20,1583.93
2012-07-02,1607.02
2012-07-16,1619.54
2012-07-26,1644.62
2012-08-07,1653.39
2012-08-23,1633.91
2012-08-31,1607.42
2012-09-12,1640.59
2012-09-24,1642.21
2012-10-05,1653.55
2012-10-17,1660.69
2012-10-29,1666.68
2012-11-12,1691.89
2012-11-22,1703.63
2012-12-04,1714.36
2012-12-17,1718.26
2012-12-28,1722.65
2013-01-09,1725.56
2013-01-21,1709.35
2013-02-04,1712.8
2013-02-14,1716.97
2013-02-26,1723.05
2013-03-11,1725.53
2013-03-22,1716.25
2013-04-03,1704.46
2013-04-15,1712.04
2013-04-29,1719.79
2013-05-10,1722.49
2013-05-21,1710.72
2013-06-03,1671.46
2013-06-14,1629.57
2013-06-26,1552.18
2013-07-08,1514.06
2013-07-22,1495.75
2013-07-31,1491.97
2013-08-12,1513.24
2013-08-26,1436.56
2013-09-05,1420.52
2013-09-17,1470.87
2013-09-30,1449.43
2013-10-11,1494.28
2013-10-23,1580.52
2013-11-04,1526.5
2013-11-18,1459.63
2013-11-28,1444.75
2013-12-10,1437.47
2013-12-23,1465.55
2014-01-03,1447.43
2014-01-15,1458.51
2014-01-27,1420.9
2014-02-10,1420.2
2014-02-20,1482.04
2014-03-04,1501.01
2014-03-17,1522.24
2014-03-28,1522.0
2014-04-10,1541.24
2014-04-21,1541.26
2014-05-05,1534.86
2014-05-16,1542.54
2014-05-28,1531.8
2014-06-09,1538.42
2014-06-19,1536.42
2014-07-01,1525.34
2014-07-14,1534.07
2014-07-25,1546.19
2014-08-06,1537.18
2014-08-18,1530.08
2014-09-01,1548.8
2014-09-11,1557.65
2014-09-23,1552.19
2014-10-06,1521.83
2014-10-17,1550.16
2014-10-29,1571.92
2014-11-10,1585.33
2014-11-24,1614.58
2014-12-04,1607.73
2014-12-16,1540.91
2014-12-29,1610.06
2015-01-09,1631.12
2015-01-21,1688.77
2015-02-02,1721.7
2015-02-16,1686.75
2015-02-26,1733.47
2015-03-10,1681.11
2015-03-23,1699.14
2015-04-06,1704.5
2015-04-14,1707.12
2015-04-27,1676.24
2015-05-08,1613.41
2015-05-20,1634.99
2015-06-01,1627.16
2015-06-15,1576.03
2015-06-25,1629.52
2015-07-07,1638.77
2015-07-22,1627.79
2015-07-31,1597.77
2015-08-12,1570.97
2015-08-24,1554.57
2015-09-07,1554.63
2015-09-17,1527.08
2015-09-29,1499.83
2015-10-12,1607.11
2015-10-23,1596.1
2015-11-04,1594.56
2015-11-16,1613.55
2015-11-30,1625.72
2015-12-10,1629.12
2015-12-22,1613.73
2016-01-04,1612.0
2016-01-15,1638.1
2016-01-27,1643.02
2016-02-09,1691.19
2016-02-22,1680.0
2016-03-02,1680.27
2016-03-14,1727.4
2016-03-28,1728.29
2016-04-07,1770.26
2016-04-19,1803.34
2016-05-02,1782.04
2016-05-13,1778.0
2016-05-25,1760.71
2016-06-06,1787.56
2016-06-20,1799.47
2016-06-30,1822.86
2016-07-12,1858.3
2016-07-25,1866.76
2016-08-05,1886.89
2016-08-18,1896.1
2016-08-29,1879.44
2016-09-13,1893.93
2016-09-22,1901.59
2016-10-04,1901.74
2016-10-17,1894.78
2016-10-28,1870.45
2016-11-09,1846.52
2016-11-21,1784.53
2016-12-05,1781.43
2016-12-15,1798.34
2016-12-27,1806.14
2017-01-09,1817.43
2017-01-19,1827.38
2017-01-31,1827.46
2017-02-13,1841.12
2017-02-24,1846.42
2017-03-08,1867.28
2017-03-20,1883.0
2017-04-03,1915.21
2017-04-13,1919.48
2017-04-25,1919.57
2017-05-08,1919.78
2017-05-19,1931.08
2017-05-31,1943.95
2017-06-12,1950.46
2017-07-03,1959.13
2017-07-06,1948.01
2017-07-18,1947.21
2017-07-31,1962.23
2017-08-11,1971.04
2017-08-23,1980.61
2017-09-04,2013.15
2017-09-18,2032.81
2017-09-28,2035.46
