tanggal,data
2007-09-19,1094.61
2007-10-02,1167.47
2007-10-18,1329.01
2007-10-29,1356.99
2007-11-12,1444.57
2007-11-23,1354.31
2007-12-06,1464.07
2007-12-19,1373.11
2008-01-02,1413.11
2008-01-14,1469.08
2008-01-28,1354.52
2008-02-11,1352.19
2008-02-22,1418.12
2008-03-06,1382.74
2008-03-19,1169.2
2008-04-01,1194.8
2008-04-14,1156.06
2008-04-28,1150.76
2008-05-12,1199.31
2008-05-23,1246.27
2008-06-05,1206.91
2008-06-18,1224.28
2008-07-01,1245.93
2008-07-14,1139.55
2008-07-28,1064.23
2008-08-11,963.74
2008-08-22,968.45
2008-09-04,928.51
2008-09-17,777.16
2008-10-06,705.98
2008-10-13,645.45
2008-10-27,522.59
2008-11-10,592.52
2008-11-21,517.15
2008-12-04,529.99
2008-12-17,593.78
2008-12-30,580.39
2009-01-12,631.47
2009-01-27,597.14
2009-02-09,604.52
2009-02-20,585.1
2009-03-05,578.49
2009-03-18,581.7
2009-03-31,609.54
2009-04-13,671.32
2009-04-27,697.99
2009-05-11,858.06
2009-05-22,854.37
2009-06-05,957.37
2009-06-17,907.32
2009-06-30,890.7
2009-07-13,868.2
2009-07-27,976.17
2009-08-10,1105.02
2009-08-21,1066.97
2009-09-03,1046.61
2009-09-16,1111.73
2009-09-29,1100.28
2009-10-16,1135.21
2009-10-26,1106.74
2009-11-09,1062.13
2009-11-20,1109.98
2009-12-03,1116.23
2009-12-16,1126.23
2009-12-29,1121.93
2010-01-11,1195.62
2010-01-25,1151.13
2010-02-08,1088.25
2010-02-19,1119.89
2010-03-04,1123.72
2010-03-17,1188.74
2010-03-30,1209.2
2010-04-12,1242.07
2010-04-26,1274.58
2010-05-10,1221.22
2010-05-21,1099.21
2010-06-03,1179.03
2010-06-16,1193.72
2010-06-29,1195.29
2010-07-12,1200.35
2010-07-26,1240.24
2010-08-09,1260.03
2010-08-20,1259.45
2010-09-02,1259.78
2010-09-15,1332.96
2010-09-28,1363.69
2010-10-11,1402.26
2010-10-25,1422.91
2010-11-08,1423.22
2010-11-19,1433.56
2010-12-02,1401.24
2010-12-15,1375.49
2010-12-28,1394.7
2011-01-10,1325.67
2011-01-24,1245.48
2011-02-07,1315.91
2011-02-18,1327.7
2011-03-03,1308.93
2011-03-16,1312.67
2011-03-29,1324.04
2011-04-11,1368.49
2011-04-25,1375.41
2011-05-09,1368.13
2011-05-20,1387.48
2011-06-03,1383.92
2011-06-15,1358.48
2011-06-28,1367.7
2011-07-11,1412.45
2011-07-25,1428.56
2011-08-08,1347.12
2011-08-19,1342.85
2011-09-05,1355.91
2011-09-14,1328.42
2011-09-27,1198.4
2011-10-10,1187.75
2011-10-24,1292.35
2011-11-07,1324.87
2011-11-18,1320.0
2011-12-01,1314.8
2011-12-13,1310.74
2011-12-27,1324.36
2012-01-09,1369.3
2012-01-24,1414.58
2012-02-03,1418.24
2012-02-16,1404.69
2012-02-29,1413.19
2012-03-13,1414.98
2012-03-26,1412.02
2012-04-09,1432.99
2012-04-23,1419.27
2012-05-04,1449.36
2012-05-21,1344.72
2012-05-30,1329.16
2012-06-12,1307.61
2012-06-25,1304.96
2012-07-09,1344.37
2012-07-23,1369.34
