tanggal,data
2007-02-08,997.13
2007-02-21,997.68
2007-03-07,1003.55
2007-03-20,1015.77
2007-04-02,1020.81
2007-04-16,1026.85
2007-04-30,1036.53
2007-05-14,1048.14
2007-05-28,1064.61
2007-06-11,1059.99
2007-06-22,1069.52
2007-07-06,1065.55
2007-07-19,1065.85
2007-08-01,1063.62
2007-08-15,1056.77
2007-08-28,1048.14
2007-09-11,1049.47
2007-09-24,1062.84
2007-10-08,1071.0
2007-10-22,1078.75
2007-11-05,1083.72
2007-11-19,1063.43
2007-12-03,1060.61
2007-12-14,1077.13
2007-12-27,1071.62
2008-01-14,1080.95
2008-01-23,1084.16
2008-02-06,1086.09
2008-02-19,1087.86
2008-03-04,1082.28
2008-03-17,1071.85
2008-03-31,1063.25
2008-04-14,1047.5
2008-04-28,1028.11
2008-05-12,1025.59
2008-05-23,1030.36
2008-06-06,1023.77
2008-06-19,1016.63
2008-07-03,1025.4
2008-07-16,1048.76
2008-07-31,1085.43
2008-08-12,1096.36
2008-08-26,1088.05
2008-09-08,1084.36
2008-09-22,1065.15
2008-10-06,1028.01
2008-10-20,952.64
2008-11-03,928.71
2008-11-14,959.43
2008-11-28,971.16
2008-12-11,1053.86
2008-12-26,1113.57
2009-01-07,1148.34
2009-01-21,1104.52
2009-02-03,1121.0
2009-02-16,1076.11
2009-03-02,1023.32
2009-03-16,1053.74
2009-03-30,1103.4
2009-04-13,1135.38
2009-04-27,1140.93
2009-05-08,1166.04
2009-05-22,1190.18
2009-06-04,1252.12
2009-06-17,1195.12
2009-07-01,1212.47
2009-07-14,1248.53
2009-07-28,1273.68
2009-08-10,1256.73
2009-08-24,1254.75
2009-09-07,1258.56
2009-09-24,1283.14
2009-10-05,1299.91
2009-10-19,1302.57
2009-10-30,1294.9
2009-11-12,1296.22
2009-11-26,1305.19
2009-12-09,1316.14
2009-12-23,1321.5
2010-01-05,1330.78
2010-01-19,1358.75
2010-02-01,1352.87
2010-02-15,1356.73
2010-03-01,1362.14
2010-03-15,1380.09
2010-03-29,1393.43
2010-04-09,1408.98
2010-04-23,1435.97
2010-05-06,1396.97
2010-05-20,1420.55
2010-06-02,1417.87
2010-06-16,1437.42
2010-06-29,1474.26
2010-07-13,1476.74
2010-07-26,1482.48
2010-08-09,1523.27
