tanggal,data
2016-08-16,36980.0
2016-08-23,37460.0
2016-08-29,36900.0
2016-09-05,36980.0
2016-09-13,35980.0
2016-09-19,36950.0
2016-09-23,37290.0
2016-09-30,36890.0
2016-10-06,37220.0
2016-10-12,36950.0
2016-10-19,37160.0
2016-10-25,36850.0
2016-10-31,37000.0
2016-11-07,36590.0
2016-11-14,34340.0
2016-11-21,34550.0
2016-11-28,33990.0
2016-12-02,35040.0
2016-12-08,35510.0
2016-12-15,35010.0
2016-12-21,33870.0
2016-12-27,33860.0
2017-01-03,35130.0
2017-01-09,35450.0
2017-01-16,34960.0
2017-01-23,34850.0
2017-01-30,35030.0
2017-02-03,35540.0
2017-02-09,35530.0
2017-02-16,35560.0
2017-02-22,35380.0
2017-02-28,35590.0
2017-03-07,35700.0
2017-03-13,35597.5
2017-03-20,36310.0
2017-03-27,36420.0
2017-04-03,36790.0
2017-04-07,36820.0
2017-04-17,36270.0
2017-04-20,36450.0
2017-04-26,37460.0
2017-05-03,36840.0
2017-05-09,37450.0
2017-05-15,37330.0
2017-05-22,37560.0
2017-05-29,37210.0
2017-06-05,37600.0
2017-06-12,37210.0
2017-06-16,37418.1
2017-06-22,38150.0
2017-07-03,38780.0
2017-07-05,37970.0
2017-07-11,37590.0
2017-07-18,37770.3
2017-07-24,37630.0
2017-07-31,37450.0
2017-08-07,36790.0
2017-08-14,37300.0
2017-08-18,37870.0
2017-08-25,38120.0
2017-08-31,37770.0
2017-09-06,37500.0
2017-09-13,37600.0
2017-09-19,37882.8
2017-09-25,37720.0
2017-10-02,38010.0
2017-10-09,38050.0
2017-10-16,38360.0
2017-10-23,38190.0
2017-10-27,38130.0
2017-11-02,38469.5
2017-11-09,38420.0
2017-11-15,38010.0
2017-11-21,38440.0
2017-11-28,39039.8
2017-12-04,38560.0
2017-12-11,38830.0
2017-12-18,39300.0
2017-12-27,40280.0
2017-12-29,40420.0
2018-01-05,40390.0
2018-01-11,40820.0
2018-01-17,41040.0
2018-01-24,42380.0
2018-01-30,41540.0
2018-02-05,41770.0
2018-02-12,41460.0
2018-02-19,42400.0
2018-02-26,41370.0
2018-03-02,41520.0
2018-03-09,40660.0
2018-03-15,40010.0
2018-03-21,40172.6
2018-03-28,39160.0
2018-04-03,39850.0
2018-04-09,39870.0
2018-04-16,40250.6
2018-04-23,40260.0
2018-04-30,38350.0
2018-05-07,37850.0
2018-05-11,38550.0
2018-05-17,37450.0
2018-05-24,38350.0
2018-05-30,38780.0
2018-06-05,39300.0
2018-06-20,37820.0
2018-06-25,37550.0
2018-07-02,36990.0
2018-07-09,37501.1
2018-07-13,38210.0
2018-07-20,37763.1
2018-07-26,38230.0
2018-08-01,38790.0
2018-08-08,39130.0
2018-08-14,36830.0
2018-08-20,37620.0
2018-08-27,38280.0
2018-09-03,37850.0
2018-09-10,37130.0
2018-09-17,37000.0
2018-09-21,37730.0
2018-09-27,37570.0
2018-10-04,36490.0
2018-10-10,36740.0
2018-10-16,36890.6
2018-10-23,36780.0
2018-10-29,36670.0
2018-11-05,37960.0
2018-11-12,36660.0
2018-11-19,38019.7
2018-11-23,37870.0
2018-11-30,38429.3
2018-12-06,38480.0
2018-12-12,38460.0
2018-12-19,38930.0
2018-12-26,38530.0
2019-01-02,38740.0
2019-01-07,39384.6
2019-01-14,39560.0
2019-01-21,40140.0
2019-01-28,40020.0
2019-02-01,40620.0
2019-02-07,40330.0
2019-02-14,39830.0
2019-02-20,40450.0
2019-02-26,40740.0
2019-03-04,40380.0
2019-03-11,39710.0
2019-03-18,40480.0
2019-03-25,39400.0
2019-04-01,39940.0
2019-04-05,40210.0
2019-04-11,39810.0
2019-04-18,40630.0
2019-04-24,40280.0
2019-04-30,40530.0
2019-05-07,39770.0
2019-05-13,38840.0
2019-05-20,37230.0
2019-05-27,38610.0
2019-06-10,39831.1
2019-06-14,39660.0
2019-06-20,40340.0
2019-06-26,39790.0
2019-07-03,40180.0
2019-07-09,40300.0
2019-07-15,40460.0
2019-07-22,40440.1
2019-07-29,40010.0
2019-08-05,39140.0
2019-08-12,39560.0
2019-08-16,39660.0
2019-08-22,39540.0
2019-08-29,39610.0
2019-09-04,39270.0
2019-09-10,39640.0
2019-09-17,38900.0
2019-09-23,38840.0
2019-09-30,38600.0
2019-10-07,37580.0
2019-10-14,38180.0
2019-10-18,38430.0
2019-10-25,38700.0
2019-10-31,38580.0
2019-11-06,38320.0
2019-11-13,37930.0
2019-11-19,38050.0
2019-11-25,37584.4
