tanggal,data
2014-06-16,996.38
2014-06-24,990.81
2014-07-02,994.04
2014-07-10,1020.44
2014-07-18,1027.34
2014-08-04,1032.11
2014-08-11,1036.28
2014-08-19,1047.24
2014-08-27,1044.9
2014-09-04,1049.02
2014-09-12,1036.69
2014-09-22,1039.76
2014-09-29,1033.81
2014-10-06,1018.7
2014-10-14,1008.79
2014-10-22,1042.38
2014-10-29,1043.15
2014-11-06,1049.98
2014-11-14,1061.92
2014-11-24,1086.85
2014-12-01,1112.9
2014-12-08,1104.34
2014-12-16,1076.02
2014-12-24,1121.72
2015-01-02,1138.96
2015-01-09,1144.48
2015-01-19,1127.7
2015-01-26,1151.39
2015-02-02,1163.75
2015-02-10,1175.38
2015-02-18,1187.32
2015-02-26,1197.6
2015-03-06,1191.98
2015-03-16,1181.86
2015-03-23,1189.44
2015-03-30,1194.29
2015-04-06,1196.86
2015-04-14,1193.64
2015-04-22,1202.07
2015-04-30,1147.15
2015-05-08,1165.05
2015-05-18,1176.04
2015-05-25,1189.62
2015-06-01,1175.26
2015-06-09,1115.17
2015-06-17,1113.11
2015-06-25,1112.28
2015-07-03,1123.93
2015-07-13,1118.16
2015-07-22,1113.87
2015-07-27,1090.3
2015-08-04,1085.8
2015-08-12,1048.46
2015-08-20,1043.68
2015-08-28,1040.09
2015-09-04,1034.18
2015-09-14,1027.85
2015-09-21,1025.11
2015-09-28,985.12
2015-10-06,1048.45
2015-10-15,1057.5
2015-10-22,1073.88
2015-10-30,1061.93
2015-11-09,1073.81
2015-11-16,1068.1
2015-11-23,1081.59
2015-12-01,1083.68
2015-12-10,1076.37
2015-12-17,1095.16
2015-12-28,1093.08
2016-01-04,1089.19
2016-01-11,1083.67
2016-01-18,1084.84
2016-01-26,1089.99
2016-02-03,1101.72
2016-02-10,1131.1
2016-02-18,1142.49
2016-02-26,1131.03
2016-03-07,1149.91
2016-03-14,1161.86
2016-03-21,1164.28
2016-03-29,1142.85
2016-04-06,1163.18
2016-04-14,1150.34
2016-04-22,1168.74
2016-05-02,1147.92
2016-05-09,1146.54
2016-05-16,1150.18
2016-05-24,1144.97
2016-06-01,1162.16
2016-06-09,1170.62
2016-06-17,1170.99
2016-06-27,1172.9
2016-07-11,1209.47
2016-07-18,1211.7
2016-07-26,1232.67
2016-08-03,1250.18
2016-08-11,1263.65
2016-08-19,1263.68
2016-08-29,1246.41
