tanggal,data
2012-05-15,980.49
2012-05-25,953.07
2012-06-04,875.01
2012-06-13,934.48
2012-06-22,924.47
2012-07-02,954.57
2012-07-11,959.39
2012-07-23,946.14
2012-07-30,951.24
2012-08-09,939.22
2012-08-23,928.54
2012-08-28,917.6
2012-09-06,898.32
2012-09-17,934.64
2012-09-25,951.84
2012-10-05,957.23
2012-10-15,951.44
2012-10-24,947.35
2012-11-02,947.04
2012-11-12,953.04
2012-11-21,954.89
2012-12-03,957.81
2012-12-10,957.18
2012-12-20,941.63
2012-12-31,946.99
2013-01-08,976.33
2013-01-18,1001.84
2013-01-28,988.59
2013-02-06,1013.55
2013-02-15,1063.97
2013-02-25,1088.12
2013-03-06,1112.94
2013-03-18,1115.29
2013-03-25,1122.44
2013-04-04,1153.5
2013-04-15,1146.93
2013-04-23,1163.65
2013-05-02,1168.49
2013-05-13,1180.36
2013-05-21,1217.33
2013-05-31,1200.51
2013-06-10,1127.41
2013-06-19,1135.12
2013-06-28,1103.66
2013-07-08,1007.91
2013-07-17,1073.21
2013-07-29,1034.76
2013-08-12,1039.36
2013-08-15,1062.35
2013-08-26,908.75
2013-09-03,913.02
2013-09-12,959.56
2013-09-23,1022.66
2013-10-01,966.84
2013-10-11,1009.94
2013-10-21,1014.87
2013-10-30,1018.57
2013-11-08,988.12
2013-11-18,965.46
2013-11-27,930.3
2013-12-09,928.95
2013-12-16,909.5
2013-12-27,927.64
2014-01-06,919.68
2014-01-15,973.85
2014-01-23,989.24
2014-02-03,961.88
2014-02-11,990.64
2014-02-21,1036.46
2014-03-03,1024.64
2014-03-12,1062.12
2014-03-24,1078.84
2014-04-01,1108.94
2014-04-10,1069.18
2014-04-21,1097.66
2014-04-29,1094.09
2014-05-08,1096.03
2014-05-19,1122.18
2014-05-28,1117.64
2014-06-06,1098.91
2014-06-16,1077.87
2014-06-25,1060.32
2014-07-04,1079.64
2014-07-14,1104.38
2014-07-23,1116.27
2014-08-04,1134.12
2014-08-11,1147.69
2014-08-21,1166.98
2014-09-01,1160.94
2014-09-09,1162.9
2014-09-18,1171.39
2014-09-29,1150.5
2014-10-07,1116.77
2014-10-17,1109.62
2014-10-27,1114.45
2014-11-05,1142.32
2014-11-14,1155.56
2014-11-24,1189.16
2014-12-03,1188.44
2014-12-15,1181.37
2014-12-22,1180.65
2015-01-02,1219.52
2015-01-12,1214.27
2015-01-20,1197.4
2015-01-29,1225.4
2015-02-09,1244.08
2015-02-17,1238.96
2015-02-27,1263.55
2015-03-09,1260.08
2015-03-18,1233.28
2015-03-27,1198.31
2015-04-06,1222.0
2015-04-15,1204.51
2015-04-27,1147.62
2015-05-04,1129.28
2015-05-15,1154.73
2015-05-25,1180.57
2015-06-03,1147.52
2015-06-12,1099.31
2015-06-22,1100.63
2015-07-01,1092.07
2015-07-10,1079.83
2015-07-22,1073.69
2015-07-29,1037.77
2015-08-10,1035.99
2015-08-18,971.95
2015-08-27,971.58
2015-09-07,945.01
2015-09-15,967.62
2015-09-25,952.26
2015-10-05,974.65
2015-10-13,1006.81
2015-10-23,1054.06
2015-11-02,1017.11
2015-11-11,1011.04
2015-11-20,1016.77
2015-11-30,976.32
2015-12-10,1002.41
2015-12-21,1007.83
2015-12-28,1012.39
2016-01-07,1007.23
2016-01-18,1005.68
2016-01-26,1015.34
2016-02-04,1056.65
2016-02-15,1078.61
2016-02-23,1059.72
2016-03-04,1101.22
2016-03-14,1132.48
2016-03-23,1137.71
2016-04-01,1131.72
2016-04-11,1139.83
2016-04-20,1169.0
2016-05-02,1173.37
2016-05-09,1157.22
2016-05-19,1154.99
2016-05-30,1193.12
2016-06-07,1223.15
2016-06-16,1198.2
2016-06-27,1203.78
2016-07-11,1260.96
2016-07-15,1289.58
2016-07-25,1319.92
2016-08-03,1379.56
2016-08-15,1393.83
2016-08-22,1418.4
2016-09-01,1381.95
2016-09-13,1346.94
2016-09-20,1372.93
2016-09-29,1417.36
2016-10-10,1405.53
2016-10-18,1452.48
2016-10-28,1503.6
2016-11-07,1512.05
2016-11-16,1477.88
2016-11-25,1478.85
2016-12-05,1536.02
2016-12-14,1536.75
2016-12-27,1479.78
2017-01-03,1518.26
2017-01-12,1572.57
2017-01-23,1588.78
2017-01-31,1633.78
2017-02-09,1652.05
2017-02-20,1654.29
2017-02-28,1667.59
2017-03-10,1674.96
2017-03-20,1732.19
2017-03-29,1763.67
2017-04-07,1786.7
2017-04-17,1772.03
2017-04-26,1794.08
2017-05-08,1812.26
2017-05-15,1798.19
