tanggal,data
2013-11-18,992.29
2013-11-25,983.58
2013-12-03,978.63
2013-12-12,960.39
2013-12-20,948.2
2013-12-30,950.92
2014-01-06,942.13
2014-01-15,981.7
2014-01-23,1002.0
2014-02-03,990.0
2014-02-10,1001.41
2014-02-17,1018.48
2014-02-25,1019.74
2014-03-06,1043.26
2014-03-14,1068.94
2014-03-24,1049.71
2014-04-01,1061.11
2014-04-08,1066.23
2014-04-16,1068.81
2014-04-25,1078.97
2014-05-05,1060.9
2014-05-12,1085.12
2014-05-20,1067.61
2014-05-28,1089.24
2014-06-06,1073.29
2014-06-16,1054.68
2014-06-23,1040.42
2014-07-01,1045.44
2014-07-10,1101.3
2014-07-18,1100.32
2014-08-04,1116.81
2014-08-12,1116.06
2014-08-20,1139.41
2014-08-29,1128.79
2014-09-08,1143.91
2014-09-15,1119.91
2014-09-23,1116.97
2014-10-01,1089.54
2014-10-10,1035.0
2014-10-20,1028.61
2014-10-27,1035.82
2014-11-04,1046.62
2014-11-12,1035.99
2014-11-20,1038.28
2014-12-01,1058.77
2014-12-08,1056.23
2014-12-16,1031.63
2014-12-24,1065.07
2015-01-02,1081.01
2015-01-12,1073.13
2015-01-19,1043.02
2015-01-27,1070.89
2015-02-04,1087.5
2015-02-12,1093.93
2015-02-23,1092.43
2015-03-02,1102.54
2015-03-09,1080.57
2015-03-18,1061.94
2015-03-26,1027.73
2015-04-06,1051.87
2015-04-13,1051.55
2015-04-20,1037.02
2015-04-29,986.78
2015-05-07,996.81
2015-05-18,1022.38
2015-05-25,1025.62
2015-06-01,1011.39
2015-06-10,963.97
2015-06-18,957.05
2015-06-26,958.96
2015-07-06,956.73
2015-07-13,940.98
2015-07-22,942.94
2015-07-30,902.35
2015-08-07,891.12
2015-08-18,822.04
2015-08-24,733.43
2015-09-01,789.33
2015-09-10,788.03
2015-09-18,799.9
2015-09-28,761.57
2015-10-05,792.97
2015-10-13,822.74
2015-10-22,848.49
2015-10-30,833.35
2015-11-09,827.74
2015-11-16,791.38
2015-11-24,809.3
2015-12-03,793.95
2015-12-11,748.63
2015-12-21,765.62
2015-12-28,770.81
2016-01-05,773.54
2016-01-14,766.79
2016-01-22,774.26
2016-02-01,797.76
2016-02-09,816.5
2016-02-16,823.83
2016-02-25,804.15
