tanggal,data
2021-11-15,1002.92
2021-11-16,1003.12
2021-11-19,1003.72
2021-11-22,1004.16
2021-11-24,1004.56
2021-11-26,1005.53
2021-11-29,1005.9
2021-12-01,1006.32
2021-12-03,1006.75
2021-12-06,1007.19
2021-12-08,1007.61
2021-12-10,1008.02
2021-12-13,1008.48
2021-12-15,1008.9
2021-12-20,1009.76
2021-12-22,1010.16
2021-12-27,1011.07
2021-12-30,1011.72
2022-01-03,1012.34
2022-01-06,1012.94
2022-01-10,1013.6
2022-01-11,1013.79
2022-01-13,1014.17
2022-01-17,1014.82
2022-01-18,1015.01
2022-01-20,1015.39
2022-01-24,1015.97
2022-01-25,1016.16
2022-01-27,1016.55
2022-01-31,1017.54
2022-02-02,1017.86
2022-02-03,1018.05
2022-02-04,1018.24
2022-02-07,1018.65
2022-02-08,1018.84
2022-02-10,1019.22
2022-02-11,1019.41
2022-02-14,1019.84
2022-02-15,1020.02
2022-02-16,1020.2
2022-02-17,1020.38
2022-02-18,1020.56
2022-02-21,1020.98
2022-02-23,1021.39
2022-02-24,1021.58
2022-02-25,1021.78
2022-03-01,1022.41
2022-03-02,1022.63
2022-03-07,1023.35
2022-03-09,1023.74
2022-03-11,1024.12
2022-03-14,1024.54
2022-03-16,1024.92
2022-03-17,1025.11
2022-03-18,1025.3
2022-03-21,1025.72
2022-03-23,1026.1
2022-03-24,1026.29
2022-03-25,1026.48
2022-03-28,1026.9
2022-03-29,1027.09
2022-03-31,1027.48
2022-04-01,1027.67
2022-04-04,1028.13
2022-04-05,1028.32
2022-04-07,1028.45
2022-04-11,1029.12
2022-04-12,1029.31
2022-04-14,1029.71
2022-04-18,1030.45
2022-04-19,1030.63
2022-04-21,1030.78
2022-04-22,1030.92
2022-04-25,1031.02
2022-04-26,1031.21
2022-04-27,1031.39
2022-05-09,1033.33
2022-05-11,1033.71
2022-05-13,1034.11
2022-05-17,1034.73
2022-05-18,1034.91
2022-05-20,1035.28
2022-05-23,1035.81
2022-05-24,1035.99
2022-05-25,1036.19
2022-05-27,1036.59
2022-05-30,1038.64
2022-05-31,1038.84
2022-06-02,1039.22
2022-06-06,1042.44
2022-06-07,1042.62
2022-06-09,1042.98
2022-06-13,1043.68
2022-06-14,1043.86
2022-06-16,1044.25
2022-06-20,1044.96
2022-06-21,1045.14
2022-06-23,1045.51
2022-06-27,1046.22
2022-06-28,1046.43
2022-06-29,1046.63
2022-06-30,1046.84
2022-07-04,1047.55
2022-07-05,1047.77
2022-07-06,1047.95
2022-07-08,1048.31
2022-07-11,1048.79
2022-07-12,1048.97
2022-07-13,1049.15
2022-07-15,1050.37
2022-07-18,1050.8
2022-07-20,1051.16
2022-07-22,1051.52
2022-07-25,1052.12
2022-07-26,1052.32
