tanggal,data
2007-01-11,945.05
2007-01-24,999.61
2007-02-07,996.89
2007-02-20,1015.05
2007-03-06,952.45
2007-03-20,988.9
2007-04-02,1030.55
2007-04-16,1096.81
2007-04-30,1115.3
2007-05-14,1152.9
2007-05-28,1206.64
2007-06-08,1190.29
2007-06-22,1224.25
2007-07-05,1262.0
2007-07-19,1330.04
2007-08-01,1287.5
2007-08-15,1119.59
2007-08-28,1176.31
2007-09-11,1231.33
2007-09-24,1345.75
2007-10-08,1394.58
2007-10-22,1417.28
2007-11-05,1509.58
2007-11-19,1534.29
2007-12-03,1592.16
2007-12-14,1604.26
2007-12-28,1618.14
2008-01-14,1629.8
2008-01-24,1434.68
2008-02-06,1519.63
2008-02-20,1533.21
2008-03-04,1511.36
2008-03-18,1293.1
2008-03-31,1346.66
2008-04-14,1223.31
2008-04-28,1236.73
2008-05-12,1305.71
2008-05-26,1351.14
2008-06-09,1357.32
2008-06-20,1369.83
2008-07-04,1301.3
2008-07-18,1115.62
2008-07-31,1209.0
2008-08-14,1074.87
2008-08-27,1061.97
2008-09-10,855.09
2008-09-23,856.47
2008-10-07,662.35
2008-10-20,575.76
2008-11-03,528.1
2008-11-17,464.39
2008-12-01,461.98
2008-12-15,497.64
2008-12-30,476.3
2009-01-09,511.78
2009-01-23,461.7
2009-02-05,468.27
2009-02-19,488.66
2009-03-04,471.93
2009-03-18,471.32
2009-03-31,494.7
2009-04-14,576.92
2009-04-27,592.43
2009-05-11,728.83
2009-05-25,733.93
2009-06-08,804.02
2009-06-22,722.26
2009-07-06,718.56
2009-07-17,737.75
2009-07-31,852.4
2009-08-13,900.52
2009-08-27,859.05
2009-09-09,863.82
2009-09-24,878.56
2009-10-06,893.64
2009-10-20,892.1
2009-11-02,823.13
2009-11-16,864.04
2009-11-30,826.53
2009-12-14,860.31
2009-12-28,856.87
2010-01-11,927.72
2010-01-22,897.48
2010-02-05,864.41
2010-02-18,867.55
2010-03-04,865.52
2010-03-17,914.6
2010-03-31,935.75
2010-04-13,971.46
2010-04-27,995.38
2010-05-10,927.88
2010-05-24,799.9
2010-06-07,852.51
2010-06-21,918.81
2010-07-05,882.0
2010-07-19,903.01
2010-07-30,929.73
2010-08-13,926.69
2010-08-26,939.09
2010-09-14,955.1
2010-09-22,1002.53
2010-10-06,1050.43
2010-10-20,1051.22
2010-11-02,1056.64
2010-11-16,1070.73
2010-11-29,1060.99
2010-12-13,1099.37
2010-12-27,1086.89
2011-01-10,1054.39
2011-01-24,976.56
2011-02-07,1018.04
2011-02-18,1032.95
2011-03-04,1025.74
2011-03-17,1007.15
2011-03-31,1066.55
2011-04-13,1092.81
2011-04-27,1107.58
2011-05-10,1102.48
2011-05-24,1110.09
2011-06-06,1137.01
2011-06-20,1125.07
2011-07-04,1184.39
2011-07-18,1210.74
