tanggal,data
2020-01-16,1011.38
2020-01-20,1011.16
2020-01-23,1017.21
2020-01-27,1016.33
2020-01-31,1020.28
2020-02-03,1018.54
2020-02-04,1020.8
2020-02-05,1021.3
2020-02-07,1024.48
2020-02-10,1025.02
2020-02-11,1025.03
2020-02-13,1029.32
2020-02-17,1029.74
2020-02-19,1031.23
2020-02-20,1032.39
2020-02-24,1032.02
2020-02-26,1031.73
2020-02-28,1021.38
2020-03-02,1018.42
2020-03-03,1020.27
2020-03-05,1037.6
2020-03-06,1037.0
2020-03-09,1025.64
2020-03-10,1021.21
2020-03-12,1018.74
2020-03-16,1007.35
2020-03-18,994.03
2020-03-20,972.85
2020-03-23,961.66
2020-03-24,949.88
2020-03-26,958.47
2020-03-27,966.15
2020-03-30,970.18
2020-03-31,971.52
2020-04-02,972.09
2020-04-06,972.7
2020-04-08,963.98
2020-04-09,964.79
2020-04-13,968.31
2020-04-15,982.31
2020-04-17,977.01
2020-04-20,981.38
2020-04-23,977.42
2020-04-24,978.87
2020-04-27,976.73
2020-04-28,974.12
2020-04-30,975.1
2020-05-04,972.66
2020-05-05,969.23
2020-05-08,963.74
2020-05-11,964.33
2020-05-12,965.41
2020-05-13,966.9
2020-05-15,972.1
2020-05-18,978.56
2020-05-19,981.65
2020-05-20,984.3
2020-05-26,989.07
2020-05-27,1001.6
2020-05-28,993.15
2020-06-02,997.08
2020-06-03,1012.27
2020-06-04,1013.75
2020-06-08,1004.8
2020-06-11,1012.46
2020-06-12,1012.2
2020-06-15,1012.19
2020-06-18,1012.6
2020-06-19,1013.12
2020-06-22,1014.22
2020-06-23,1012.61
2020-06-26,1020.21
2020-06-29,1019.56
2020-06-30,1020.9
2020-07-06,1021.31
2020-07-07,1023.09
2020-07-08,1023.65
2020-07-13,1029.65
2020-07-15,1029.4
2020-07-20,1030.06
2020-07-22,1034.41
2020-07-23,1035.51
2020-07-27,1040.4
2020-07-30,1039.57
2020-08-03,1039.79
2020-08-06,1041.18
2020-08-07,1041.63
2020-08-10,1042.46
2020-08-14,1052.78
2020-08-18,1057.08
2020-08-24,1060.84
2020-08-25,1061.73
2020-08-31,1058.11
2020-09-02,1057.7
2020-09-07,1058.0
