[2025-02-05 16:56:08] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-05 16:56:08] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 1Y (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 3M.
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 1Y.
[2025-02-05 16:56:14] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -455 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-05 16:56:14] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -455 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-05 16:56:14] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -435 | Tanggal: 4 Nov 24 | Data: $1.13
[2025-02-05 16:56:14] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -435 | Tanggal: 2 Feb 24 | Data: $1.05
[2025-02-05 16:56:14] [INFO] Berhasil memilih periode 3M.
[2025-02-05 16:56:15] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -415 | Tanggal: 7 Nov 24 | Data: $1.19
[2025-02-05 16:56:15] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -415 | Tanggal: 12 Feb 24 | Data: $1.08
[2025-02-05 16:56:15] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -395 | Tanggal: 11 Nov 24 | Data: $1.17
[2025-02-05 16:56:15] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -395 | Tanggal: 19 Feb 24 | Data: $1.07
[2025-02-05 16:56:15] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -375 | Tanggal: 11 Nov 24 | Data: $1.17
[2025-02-05 16:56:15] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -375 | Tanggal: 28 Feb 24 | Data: $1.08
[2025-02-05 16:56:16] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -355 | Tanggal: 13 Nov 24 | Data: $1.17
[2025-02-05 16:56:16] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -355 | Tanggal: 7 Mar 24 | Data: $1.11
[2025-02-05 16:56:16] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -335 | Tanggal: 15 Nov 24 | Data: $1.14
[2025-02-05 16:56:16] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -335 | Tanggal: 18 Mar 24 | Data: $1.09
[2025-02-05 16:56:16] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -315 | Tanggal: 18 Nov 24 | Data: $1.15
[2025-02-05 16:56:16] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -315 | Tanggal: 25 Mar 24 | Data: $1.10
