[2025-02-14 11:14:27] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 11:14:27] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] Berhasil memilih periode 1M.
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-14 11:14:34] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -455 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-14 11:14:35] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -435 | Tanggal: 10 Jan 25 | Data: $1.16
[2025-02-14 11:14:35] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -415 | Tanggal: 13 Jan 25 | Data: $1.16
[2025-02-14 11:14:35] [INFO] Berhasil memilih periode 1M.
[2025-02-14 11:14:35] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -395 | Tanggal: 13 Jan 25 | Data: $1.16
[2025-02-14 11:14:36] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -375 | Tanggal: 13 Jan 25 | Data: $1.16
[2025-02-14 11:14:36] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -355 | Tanggal: 14 Jan 25 | Data: $1.16
[2025-02-14 11:14:37] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -335 | Tanggal: 14 Jan 25 | Data: $1.16
[2025-02-14 11:14:37] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -315 | Tanggal: 15 Jan 25 | Data: $1.19
[2025-02-14 11:14:37] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -295 | Tanggal: 16 Jan 25 | Data: $1.18
[2025-02-14 11:14:38] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -455 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:38] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -275 | Tanggal: 17 Jan 25 | Data: $1.20
[2025-02-14 11:14:38] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -435 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-14 11:14:38] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -255 | Tanggal: 17 Jan 25 | Data: $1.20
[2025-02-14 11:14:38] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -415 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:39] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -235 | Tanggal: 20 Jan 25 | Data: $1.20
[2025-02-14 11:14:39] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -395 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:39] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -215 | Tanggal: 20 Jan 25 | Data: $1.20
[2025-02-14 11:14:39] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -375 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:39] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -195 | Tanggal: 20 Jan 25 | Data: $1.20
[2025-02-14 11:14:40] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -355 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:40] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -175 | Tanggal: 20 Jan 25 | Data: $1.20
[2025-02-14 11:14:40] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -335 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:40] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor -155 | Tanggal: 21 Jan 25 | Data: $1.21
[2025-02-14 11:14:40] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -315 | Tanggal: 1 Jan 25 | Data: $83.52M
