Pergeseran ke,Periode,Nilai,Tanggal
1,5Y,"Rp1,472.58",24 Jan 25
2,5Y,"Rp1,472.58",24 Jan 25
3,5Y,"Rp1,472.58",24 Jan 25
1,ALL,"Rp1,472.58",24 Jan 25
1,3M,"Rp1,472.58",24 Jan 25
1,1M,"Rp1,472.58",24 Jan 25
1,3Y,"Rp1,472.58",24 Jan 25
1,YTD,"Rp1,472.58",24 Jan 25
4,5Y,"Rp1,472.58",24 Jan 25
2,ALL,"Rp1,472.58",24 Jan 25
2,3M,"Rp1,472.58",24 Jan 25
2,1M,"Rp1,472.58",24 Jan 25
2,3Y,"Rp1,472.58",24 Jan 25
2,YTD,"Rp1,472.58",24 Jan 25
5,5Y,"Rp1,185.04",24 Jan 20
3,ALL,"Rp1,472.58",24 Jan 25
3,3M,"Rp1,472.58",24 Jan 25
3,1M,"Rp1,472.58",24 Jan 25
3,3Y,"Rp1,472.58",24 Jan 25
3,YTD,"Rp1,472.58",24 Jan 25
6,5Y,"Rp1,187.06",4 Feb 20
4,ALL,"Rp1,472.58",24 Jan 25
4,3M,"Rp1,472.58",24 Jan 25
4,1M,"Rp1,472.58",24 Jan 25
4,3Y,"Rp1,472.58",24 Jan 25
4,YTD,"Rp1,472.58",24 Jan 25
7,5Y,"Rp1,188.97",14 Feb 20
5,ALL,"Rp1,002.22",13 Apr 17
5,3M,"Rp1,452.61",24 Okt 24
5,1M,"Rp1,464.59",24 Des 24
5,3Y,"Rp1,290.91",24 Jan 22
5,YTD,"Rp1,466.14",30 Des 24
8,5Y,"Rp1,191.00",25 Feb 20
6,ALL,"Rp1,004.98",2 Mei 17
6,3M,"Rp1,452.73",25 Okt 24
6,1M,"Rp1,465.35",27 Des 24
6,3Y,"Rp1,291.64",31 Jan 22
6,YTD,"Rp1,466.78",2 Jan 25
9,5Y,"Rp1,192.88",6 Mar 20
7,ALL,"Rp1,007.27",16 Mei 17
7,3M,"Rp1,453.27",28 Okt 24
7,1M,"Rp1,465.35",27 Des 24
7,3Y,"Rp1,292.40",7 Feb 22
7,YTD,"Rp1,466.78",2 Jan 25
10,5Y,"Rp1,194.92",17 Mar 20
8,ALL,"Rp1,010.75",2 Jun 17
8,3M,"Rp1,453.27",28 Okt 24
8,1M,"Rp1,465.35",27 Des 24
8,3Y,"Rp1,293.16",14 Feb 22
8,YTD,"Rp1,466.78",2 Jan 25
11,5Y,"Rp1,196.78",27 Mar 20
9,ALL,"Rp1,013.63",19 Jun 17
9,3M,"Rp1,453.27",28 Okt 24
9,1M,"Rp1,465.35",27 Des 24
9,3Y,"Rp1,293.92",21 Feb 22
9,YTD,"Rp1,466.78",2 Jan 25
12,5Y,"Rp1,198.82",7 Apr 20
10,ALL,"Rp1,016.44",4 Jul 17
10,3M,"Rp1,453.27",28 Okt 24
10,1M,"Rp1,465.35",27 Des 24
10,3Y,"Rp1,294.36",25 Feb 22
10,YTD,"Rp1,466.78",2 Jan 25
13,5Y,"Rp1,200.59",17 Apr 20
11,ALL,"Rp1,019.27",21 Jul 17
11,3M,"Rp1,453.27",28 Okt 24
11,1M,"Rp1,465.35",27 Des 24
11,3Y,"Rp1,294.65",4 Mar 22
11,YTD,"Rp1,466.78",2 Jan 25
14,5Y,"Rp1,202.60",28 Apr 20
12,ALL,"Rp1,022.11",7 Agt 17
12,3M,"Rp1,453.27",28 Okt 24
12,1M,"Rp1,465.35",27 Des 24
12,3Y,"Rp1,295.23",10 Mar 22
12,YTD,"Rp1,466.78",2 Jan 25
15,5Y,"Rp1,204.51",8 Mei 20
13,ALL,"Rp1,024.83",22 Agt 17
13,3M,"Rp1,453.63",31 Okt 24
13,1M,"Rp1,465.35",27 Des 24
13,3Y,"Rp1,295.81",16 Mar 22
13,YTD,"Rp1,466.78",2 Jan 25
16,5Y,"Rp1,206.59",19 Mei 20
14,3M,"Rp1,453.63",31 Okt 24
14,ALL,"Rp1,027.77",8 Sep 17
14,1M,"Rp1,465.35",27 Des 24
14,3Y,"Rp1,296.37",22 Mar 22
14,YTD,"Rp1,466.78",2 Jan 25
17,5Y,"Rp1,208.47",29 Mei 20
15,ALL,"Rp1,030.93",25 Sep 17
15,3M,"Rp1,453.63",31 Okt 24
15,1M,"Rp1,465.35",27 Des 24
15,3Y,"Rp1,296.23",28 Mar 22
15,YTD,"Rp1,466.78",2 Jan 25
18,5Y,"Rp1,210.49",9 Jun 20
16,3M,"Rp1,453.63",31 Okt 24
16,ALL,"Rp1,033.71",10 Okt 17
16,1M,"Rp1,465.35",27 Des 24
16,3Y,"Rp1,296.68",4 Apr 22
16,YTD,"Rp1,466.78",2 Jan 25
19,5Y,"Rp1,212.29",19 Jun 20
17,3M,"Rp1,453.63",31 Okt 24
17,ALL,"Rp1,036.87",27 Okt 17
17,1M,"Rp1,465.35",27 Des 24
17,3Y,"Rp1,297.26",11 Apr 22
17,YTD,"Rp1,466.78",2 Jan 25
20,5Y,"Rp1,214.24",30 Jun 20
18,ALL,"Rp1,039.62",13 Nov 17
18,3M,"Rp1,453.63",31 Okt 24
18,1M,"Rp1,465.35",27 Des 24
18,3Y,"Rp1,297.81",18 Apr 22
18,YTD,"Rp1,466.78",2 Jan 25
21,5Y,"Rp1,216.04",10 Jul 20
19,ALL,"Rp1,042.21",28 Nov 17
19,3M,"Rp1,453.96",1 Nov 24
19,1M,"Rp1,465.35",27 Des 24
19,3Y,"Rp1,298.80",25 Apr 22
19,YTD,"Rp1,466.78",2 Jan 25
22,5Y,"Rp1,218.03",21 Jul 20
20,ALL,"Rp1,045.49",15 Des 17
20,3M,"Rp1,453.96",1 Nov 24
20,1M,"Rp1,465.35",27 Des 24
20,3Y,"Rp1,300.02",9 Mei 22
20,YTD,"Rp1,466.78",2 Jan 25
23,5Y,"Rp1,220.35",3 Agt 20
21,3M,"Rp1,454.72",4 Nov 24
21,ALL,"Rp1,048.28",2 Jan 18
21,1M,"Rp1,465.35",27 Des 24
21,3Y,"Rp1,300.02",9 Mei 22
21,YTD,"Rp1,466.78",2 Jan 25
24,5Y,"Rp1,222.44",11 Agt 20
22,3M,"Rp1,454.72",4 Nov 24
22,ALL,"Rp1,050.75",16 Jan 18
22,1M,"Rp1,466.14",30 Des 24
22,3Y,"Rp1,300.07",12 Mei 22
22,YTD,"Rp1,466.78",2 Jan 25
25,5Y,"Rp1,225.01",24 Agt 20
23,ALL,"Rp1,053.48",2 Feb 18
23,3M,"Rp1,454.72",4 Nov 24
23,1M,"Rp1,466.14",30 Des 24
23,3Y,"Rp1,300.55",18 Mei 22
23,YTD,"Rp1,466.78",2 Jan 25
26,5Y,"Rp1,226.41",1 Sep 20
24,ALL,"Rp1,057.60",19 Feb 18
24,3M,"Rp1,454.72",4 Nov 24
24,1M,"Rp1,466.14",30 Des 24
24,3Y,"Rp1,301.23",24 Mei 22
24,YTD,"Rp1,466.78",2 Jan 25
27,5Y,"Rp1,228.19",11 Sep 20
25,3M,"Rp1,454.72",4 Nov 24
25,ALL,"Rp1,059.70",6 Mar 18
25,1M,"Rp1,466.14",30 Des 24
25,3Y,"Rp1,301.94",30 Mei 22
25,YTD,"Rp1,466.78",2 Jan 25
28,5Y,"Rp1,230.36",22 Sep 20
26,ALL,"Rp1,062.01",23 Mar 18
26,3M,"Rp1,454.87",5 Nov 24
26,1M,"Rp1,466.14",30 Des 24
26,3Y,"Rp1,302.64",6 Jun 22
26,YTD,"Rp1,467.08",3 Jan 25
29,5Y,"Rp1,232.09",2 Okt 20
27,ALL,"Rp1,064.38",9 Apr 18
27,3M,"Rp1,454.87",5 Nov 24
27,1M,"Rp1,466.14",30 Des 24
27,3Y,"Rp1,303.73",13 Jun 22
27,YTD,"Rp1,467.08",3 Jan 25
30,5Y,"Rp1,234.08",13 Okt 20
28,ALL,"Rp1,066.51",24 Apr 18
28,3M,"Rp1,455.31",7 Nov 24
28,1M,"Rp1,466.14",30 Des 24
28,3Y,"Rp1,304.80",20 Jun 22
28,YTD,"Rp1,467.08",3 Jan 25
31,5Y,"Rp1,235.71",23 Okt 20
29,3M,"Rp1,455.31",7 Nov 24
29,ALL,"Rp1,069.05",11 Mei 18
29,1M,"Rp1,466.14",30 Des 24
29,3Y,"Rp1,305.88",27 Jun 22
29,YTD,"Rp1,467.08",3 Jan 25
32,5Y,"Rp1,237.49",3 Nov 20
30,ALL,"Rp1,071.54",28 Mei 18
30,3M,"Rp1,455.31",7 Nov 24
30,1M,"Rp1,466.14",30 Des 24
30,3Y,"Rp1,306.01",1 Jul 22
30,YTD,"Rp1,467.08",3 Jan 25
33,5Y,"Rp1,239.33",13 Nov 20
31,3M,"Rp1,455.31",7 Nov 24
31,ALL,"Rp1,074.77",20 Jun 18
31,1M,"Rp1,466.14",30 Des 24
31,3Y,"Rp1,306.64",7 Jul 22
31,YTD,"Rp1,467.08",3 Jan 25
